Round,Player A,Player B,Winner,Participant A score,Participant B score
1° turno,C. Alcaraz [1],bye,C. Alcaraz [1],,
1° turno,T. Atmane,G. Dimitrov,G. Dimitrov,1,2
1° turno,J. Cerundolo,B. van de Zandschulp,J. Cerundolo,2,1
1° turno,bye,A. Rinderknech [26],A. Rinderknech [26],,
1° turno,V. Vacherot [24],bye,V. Vacherot [24],,
1° turno,N. Borges,E. Nava,N. Borges,2,0
1° turno,A. Shevchenko,S. Shimabukuro [Q],A. Shevchenko,2,1
1° turno,bye,C. Ruud [13],C. Ruud [13],,
1° turno,A. Bublik [10],bye,A. Bublik [10],,
1° turno,M. Zheng [WC],V. Kopriva [LL],V. Kopriva [LL],0,2
1° turno,F. Maestrelli [Q],R. Hijikata [Q],R. Hijikata [Q],0,2
1° turno,bye,L. Darderi [20],L. Darderi [20],,
1° turno,C. Norrie [27],bye,C. Norrie [27],,
1° turno,M. Arnaldi,M. McDonald [Q],M. McDonald [Q],0,2
1° turno,S. Korda,F. Comesana,S. Korda,2,0
1° turno,bye,A. de Minaur [6],A. de Minaur [6],,
1° turno,N. Djokovic [3],bye,N. Djokovic [3],,
1° turno,K. Majchrzak,G. Mpetshi Perricard,K. Majchrzak,2,1
1° turno,H. Hurkacz,A. Kovacevic,A. Kovacevic,0,2
1° turno,bye,C. Moutet [31],C. Moutet [31],,
1° turno,F. Cerundolo [19],bye,F. Cerundolo [19],,
1° turno,V. Royer,B. Bonzi [Q],B. Bonzi [Q],0,2
1° turno,F. Marozsan,R. Bautista Agut,R. Bautista Agut,1,2
1° turno,bye,J. Draper [14],J. Draper [14],,
1° turno,D. Medvedev [11],bye,D. Medvedev [11],,
1° turno,A. Tabilo,R. Jodar [WC],A. Tabilo,2,0
1° turno,C. Tseng [Q],S. Baez,S. Baez,0,2
1° turno,bye,J. Lehecka [22],J. Lehecka [22],,
1° turno,U. Humbert [32],bye,U. Humbert [32],,
1° turno,D. Merida [Q],A. Michelsen,A. Michelsen,0,2
1° turno,J. Fearnley,D. Dzumhur,J. Fearnley,2,0
1° turno,bye,T. Fritz [7],T. Fritz [7],,
1° turno,L. Musetti [5],bye,L. Musetti [5],,
1° turno,M. Fucsovics,C. O'Connell [Q],M. Fucsovics,2,0
1° turno,D. Prizmic [Q],T. Schoolkate [Q],D. Prizmic [Q],2,1
1° turno,bye,A. Fils [30],A. Fils [30],,
1° turno,A. Rublev [17],bye,A. Rublev [17],,
1° turno,M. Bellucci,G. Diallo,G. Diallo,0,2
1° turno,G. Monfils [WC],A. Galarneau [Q],G. Monfils [WC],2,0
1° turno,bye,F. Auger-Aliassime [9],F. Auger-Aliassime [9],,
1° turno,F. Cobolli [15],bye,F. Cobolli [15],,
1° turno,D. Altmaier,M. Kecmanovic,M. Kecmanovic,(rit.) 0,1
1° turno,J. Brooksby,A. Popyrin,J. Brooksby,2,0
1° turno,bye,F. Tiafoe [21],F. Tiafoe [21],,
1° turno,B. Nakashima [28],bye,B. Nakashima [28],,
1° turno,C. Ugo Carabelli,M. Damm [WC],C. Ugo Carabelli,2,0
1° turno,M. Berrettini,A. Mannarino,M. Berrettini,2,1
1° turno,bye,A. Zverev [4],A. Zverev [4],,
1° turno,B. Shelton [8],bye,B. Shelton [8],,
1° turno,R. Opelka,E. Quinn,R. Opelka,2,0
1° turno,Q. Halys,A. Walton,A. Walton,0,2
1° turno,bye,L. Tien [25],L. Tien [25],,
1° turno,A. Davidovich Fokina [18],bye,A. Davidovich Fokina [18],,
1° turno,Z. Svajda [WC],M. Cilic,Z. Svajda [WC],2,0
1° turno,M. Navone,M. Giron,M. Giron,1,2
1° turno,bye,J. Mensik [12],J. Mensik [12],,
1° turno,K. Khachanov [16],bye,K. Khachanov [16],,
1° turno,J. Fonseca,R. Collignon,J. Fonseca,2,0
1° turno,Z. Bergs,J. Struff,Z. Bergs,2,0
1° turno,bye,T. Paul [23],T. Paul [23],,
1° turno,T. Etcheverry [29],bye,T. Etcheverry [29],,
1° turno,S. Tsitsipas,D. Shapovalov,D. Shapovalov,1,2
1° turno,D. Svrcina [Q],J. Duckworth,D. Svrcina [Q],2,0
1° turno,bye,J. Sinner [2],J. Sinner [2],,
2° turno,C. Alcaraz [1],G. Dimitrov,C. Alcaraz [1],2,0
2° turno,J. Cerundolo,A. Rinderknech [26],A. Rinderknech [26],,W/O
2° turno,V. Vacherot [24],N. Borges,V. Vacherot [24],2,0
2° turno,A. Shevchenko,C. Ruud [13],C. Ruud [13],0,2
2° turno,A. Bublik [10],V. Kopriva [LL],A. Bublik [10],2,1
2° turno,R. Hijikata [Q],L. Darderi [20],R. Hijikata [Q],2,1
2° turno,C. Norrie [27],M. McDonald [Q],C. Norrie [27],2,0
2° turno,S. Korda,A. de Minaur [6],A. de Minaur [6],1,2
2° turno,N. Djokovic [3],K. Majchrzak,N. Djokovic [3],2,1
2° turno,A. Kovacevic,C. Moutet [31],A. Kovacevic,2,0
2° turno,F. Cerundolo [19],B. Bonzi [Q],F. Cerundolo [19],2,1
2° turno,R. Bautista Agut,J. Draper [14],J. Draper [14],1,2
2° turno,D. Medvedev [11],A. Tabilo,D. Medvedev [11],2,0
2° turno,S. Baez,J. Lehecka [22],S. Baez,2,0
2° turno,U. Humbert [32],A. Michelsen,A. Michelsen,1,2
2° turno,J. Fearnley,T. Fritz [7],T. Fritz [7],1,2
2° turno,L. Musetti [5],M. Fucsovics,M. Fucsovics,0,2
2° turno,D. Prizmic [Q],A. Fils [30],A. Fils [30],(rit.) 0,1
2° turno,A. Rublev [17],G. Diallo,G. Diallo,1,2
2° turno,G. Monfils [WC],F. Auger-Aliassime [9],F. Auger-Aliassime [9],1,2
2° turno,F. Cobolli [15],M. Kecmanovic,F. Cobolli [15],2,1
2° turno,J. Brooksby,F. Tiafoe [21],F. Tiafoe [21],0,2
2° turno,B. Nakashima [28],C. Ugo Carabelli,B. Nakashima [28],2,0
2° turno,M. Berrettini,A. Zverev [4],A. Zverev [4],0,2
2° turno,B. Shelton [8],R. Opelka,B. Shelton [8],2,1
2° turno,A. Walton,L. Tien [25],L. Tien [25],0,2
2° turno,A. Davidovich Fokina [18],Z. Svajda [WC],A. Davidovich Fokina [18],2,0
2° turno,M. Giron,J. Mensik [12],J. Mensik [12],0,2
2° turno,K. Khachanov [16],J. Fonseca,J. Fonseca,1,2
2° turno,Z. Bergs,T. Paul [23],T. Paul [23],0,2
2° turno,T. Etcheverry [29],D. Shapovalov,D. Shapovalov,1,2
2° turno,D. Svrcina [Q],J. Sinner [2],J. Sinner [2],0,2
3° turno,C. Alcaraz [1],A. Rinderknech [26],C. Alcaraz [1],2,1
3° turno,V. Vacherot [24],C. Ruud [13],C. Ruud [13],1,2
3° turno,A. Bublik [10],R. Hijikata [Q],R. Hijikata [Q],1,2
3° turno,C. Norrie [27],A. de Minaur [6],C. Norrie [27],2,0
3° turno,N. Djokovic [3],A. Kovacevic,N. Djokovic [3],2,1
3° turno,F. Cerundolo [19],J. Draper [14],J. Draper [14],0,2
3° turno,D. Medvedev [11],S. Baez,D. Medvedev [11],2,0
3° turno,A. Michelsen,T. Fritz [7],A. Michelsen,2,0
3° turno,M. Fucsovics,A. Fils [30],A. Fils [30],0,2
3° turno,G. Diallo,F. Auger-Aliassime [9],F. Auger-Aliassime [9],1,2
3° turno,F. Cobolli [15],F. Tiafoe [21],F. Tiafoe [21],0,2
3° turno,B. Nakashima [28],A. Zverev [4],A. Zverev [4],1,2
3° turno,B. Shelton [8],L. Tien [25],L. Tien [25],1,2
3° turno,A. Davidovich Fokina [18],J. Mensik [12],A. Davidovich Fokina [18],2,1
3° turno,J. Fonseca,T. Paul [23],J. Fonseca,2,0
3° turno,D. Shapovalov,J. Sinner [2],J. Sinner [2],0,2
Ottavi di finale,C. Alcaraz [1],C. Ruud [13],C. Alcaraz [1],2,0
Ottavi di finale,R. Hijikata [Q],C. Norrie [27],C. Norrie [27],0,2
Ottavi di finale,N. Djokovic [3],J. Draper [14],J. Draper [14],1,2
Ottavi di finale,D. Medvedev [11],A. Michelsen,D. Medvedev [11],2,0
Ottavi di finale,A. Fils [30],F. Auger-Aliassime [9],A. Fils [30],2,0
Ottavi di finale,F. Tiafoe [21],A. Zverev [4],A. Zverev [4],0,2
Ottavi di finale,L. Tien [25],A. Davidovich Fokina [18],L. Tien [25],2,1
Ottavi di finale,J. Fonseca,J. Sinner [2],J. Sinner [2],0,2
Quarti di finale,C. Alcaraz [1],C. Norrie [27],C. Alcaraz [1],2,0
Quarti di finale,J. Draper [14],D. Medvedev [11],D. Medvedev [11],0,2
Quarti di finale,A. Fils [30],A. Zverev [4],A. Zverev [4],0,2
Quarti di finale,L. Tien [25],J. Sinner [2],J. Sinner [2],0,2
Semifinali,C. Alcaraz [1],D. Medvedev [11],D. Medvedev [11],0,2
Semifinali,A. Zverev [4],J. Sinner [2],J. Sinner [2],0,2
Finale,J. Sinner [2],D. Medvedev [11],J. Sinner [2],2,0
