Round,Player A,Player B,Winner,Participant A score,Participant B score
1° turno,A. Sabalenka [1],bye,A. Sabalenka [1],,
1° turno,A. Li,K. Birrell [Q],A. Li,2,1
1° turno,C. McNally,R. Masarova [Q],C. McNally,2,0
1° turno,bye,Wang X. [29],,,
1° turno,Zheng Q. [23],bye,,,
1° turno,J. Brady [WC],S. Stephens [WC],,,
1° turno,E. Ruse,A. Ruzic,,,
1° turno,bye,M. Keys [15],,,
1° turno,E. Svitolina [9],bye,,,
1° turno,E. Jones [WC],L. Fruhvirtova [Q],,,
1° turno,H. Baptiste,T. Maria,,,
1° turno,bye,L. Samsonova [19],,,
1° turno,J. Ostapenko [25],bye,,,
1° turno,D. Yastremska,A. Krueger [WC],,,
1° turno,L. Sun [Q],T. Townsend [WC],,,
1° turno,bye,J. Paolini [7],,,
1° turno,E. Rybakina [3],bye,,,
1° turno,J. Tjen,Y. Putintseva,,,
1° turno,S. Sierra,K. Rakhimova [LL],,,
1° turno,bye,M. Kostyuk [27],,,
1° turno,I. Jovic [18],bye,,,
1° turno,P. Badosa,A. Sasnovich [Q],,,
1° turno,S. Bejlek,T. Gibson [Q],,,
1° turno,bye,Osaka N. [16],,,
1° turno,E. Alexandrova [11],bye,,,
1° turno,L. Tagger [WC],E. Seidel [LL],,,
1° turno,V. Golubic [Q],P. Stearns,,,
1° turno,bye,J. Cristian [34],,,
1° turno,L. Fernandez [26],bye,,,
1° turno,E. Arango,O. Selekhmeteva,,,
1° turno,F. Jones,V. Williams [WC],,,
1° turno,bye,J. Pegula [5],,,
1° turno,A. Anisimova [6],bye,,,
1° turno,S. Waltert,A. Tomljanovic,,,
1° turno,E. Lys,Y. Starodubtseva [Q],,,
1° turno,bye,C. Bucsa [30],,,
1° turno,D. Shnaider [20],bye,,,
1° turno,T. Valentova,K. Volynets [Q],,,
1° turno,Z. Sonmez,B. Haddad Maia,,,
1° turno,bye,B. Bencic [12],,,
1° turno,L. Noskova [14],bye,,,
1° turno,Zhang S.,S. Cirstea,,,
1° turno,D. Galfi [Alt],E. Kalieva [Q],,,
1° turno,bye,E. Mertens [21],,,
1° turno,M. Sakkari [33],bye,,,
1° turno,A. Parks,S. Kraus [Q],,,
1° turno,D. Semenistaja [LL],E. Cocciaretto,,,
1° turno,bye,C. Gauff [4],,,
1° turno,M. Andreeva [8],bye,,,
1° turno,M. Kessler,M. Frech,,,
1° turno,D. Vidmanova [WC],E. Jacquemot,,,
1° turno,bye,M. Bouzkova [32],,,
1° turno,A. Kalinskaya [22],bye,,,
1° turno,A. Zakharova [Q],A. Bondar,,,
1° turno,S. Kenin,A. Blinkova,,,
1° turno,bye,V. Mboko [10],,,
1° turno,K. Muchova [13],bye,,,
1° turno,K. Siniakova,C. Osorio,,,
1° turno,K. Boulter,J. Bouzas Maneiro,,,
1° turno,bye,C. Tauson [17],,,
1° turno,A. Eala [31],bye,,,
1° turno,L. Siegemund,P. Marcinko,,,
1° turno,M. Linette,V. Gracheva,,,
1° turno,bye,I. Swiatek [2],,,
2° turno,A. Sabalenka [1],A. Li,,,
2° turno,C. McNally,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
2° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Semifinali,,,,,
Semifinali,,,,,
Finale,,,,,
