Round,Player A,Player B,Winner,Participant A score,Participant B score
1° turno,C. Alcaraz [1],bye,C. Alcaraz [1],,
1° turno,F. Marozsan,J. Fonseca,J. Fonseca,1,2
1° turno,G. Mpetshi Perricard,C. Ugo Carabelli,C. Ugo Carabelli,1,2
1° turno,bye,S. Korda [32],S. Korda [32],,
1° turno,L. Darderi [17],bye,L. Darderi [17],,
1° turno,M. Giron,M. Landaluce [Q],M. Landaluce [Q],0,2
1° turno,J. Duckworth,R. Bautista Agut,R. Bautista Agut,0,2
1° turno,bye,K. Khachanov [14],K. Khachanov [14],,
1° turno,C. Ruud [11],bye,C. Ruud [11],,
1° turno,E. Quinn,H. Hurkacz,E. Quinn,2,0
1° turno,M. Kouame [WC],Z. Svajda [Q],M. Kouame [WC],2,1
1° turno,bye,J. Lehecka [21],J. Lehecka [21],,
1° turno,J. Draper [25],bye,J. Draper [25],,
1° turno,R. Opelka,N. Borges,R. Opelka,2,1
1° turno,D. Shapovalov,B. van de Zandschulp,B. van de Zandschulp,0,2
1° turno,bye,T. Fritz [6],T. Fritz [6],,
1° turno,A. Vukic [LL],bye,A. Vukic [LL],,
1° turno,R. Jodar [Q],Y. Hanfmann [Q],R. Jodar [Q],2,1
1° turno,Z. Bergs,J. Brooksby,Z. Bergs,2,0
1° turno,bye,T. Etcheverry [29],T. Etcheverry [29],,
1° turno,T. Paul [22],bye,T. Paul [22],,
1° turno,Zhang Z. [PR],A. Mannarino,A. Mannarino,0,2
1° turno,R. Collignon,G. Dimitrov,R. Collignon,2,1
1° turno,bye,F. Cobolli [13],F. Cobolli [13],,
1° turno,A. Bublik [10],bye,A. Bublik [10],,
1° turno,A. Muller,M. Berrettini,M. Berrettini,0,2
1° turno,N. Basilashvili [Q],M. Navone,M. Navone,0,2
1° turno,bye,V. Vacherot [24],V. Vacherot [24],,
1° turno,A. Fils [28],bye,A. Fils [28],,
1° turno,D. Blanch [WC],J. Struff,D. Blanch [WC],2,1
1° turno,S. Tsitsipas,A. Fery [Q],S. Tsitsipas,2,0
1° turno,bye,A. de Minaur [5],A. de Minaur [5],,
1° turno,B. Shelton [8],bye,B. Shelton [8],,
1° turno,M. Arnaldi,A. Shevchenko,,,
1° turno,G. Diallo,Wu Y. [WC],,,
1° turno,bye,U. Humbert [31],U. Humbert [31],,
1° turno,F. Cerundolo [18],bye,F. Cerundolo [18],,
1° turno,V. Royer,T. Tirante [LL],,,
