Round,Player A,Player B,Winner,Participant A score,Participant B score
2° turno,A. Zverev [1],bye,A. Zverev [1],,
2° turno,M. Navone [Q],M. Berrettini,M. Berrettini,0,2
2° turno,J. Lehecka,S. Korda,J. Lehecka,2,0
2° turno,Y. Bu [Q],L. Musetti [13],L. Musetti [13],1,2
2° turno,H. Rune [10],N. Borges,N. Borges,0,2
2° turno,L. Sonego,P. Martinez,P. Martinez,1,2
2° turno,J. Thompson,…. Mpetshi Perricard,,,
2° turno,bye,S. Tsitsipas [6],S. Tsitsipas [6],,
2° turno,N. Djokovic [3],bye,N. Djokovic [3],,
2° turno,S. Wawrinka [WC],A. Tabilo,A. Tabilo,1,2
2° turno,J. Struff,V. Vacherot [WC],V. Vacherot [WC],0,2
2° turno,N. Jarry,G. Dimitrov [15],G. Dimitrov [15],0,2
2° turno,D. Medvedev [9],K. Khachanov,D. Medvedev [9],2,1
2° turno,A. Muller,C. Ugo Carabelli [Q],A. Muller,2,0
2° turno,T. Machac,S. Baez,T. Machac,2,1
2° turno,bye,A. de Minaur [8],A. de Minaur [8],,
2° turno,J. Draper [5],bye,J. Draper [5],,
2° turno,M. Giron,D. Shapovalov,M. Giron,2,0
2° turno,T. Etcheverry,C. Moutet [Q],T. Etcheverry,2,1
2° turno,A. Davidovich Fokina,B. Shelton [11],,,
2° turno,F. Tiafoe [14],M. Kecmanovic,F. Tiafoe [14],2,1
2° turno,A. Popyrin,U. Humbert,A. Popyrin,2,1
2° turno,R. Bautista Agut,B. Nakashima,R. Bautista Agut,2,0
2° turno,bye,C. Ruud [4],C. Ruud [4],,
2° turno,A. Rublev [7],bye,A. Rublev [7],,
2° turno,G. Monfils,F. Marozsan [Q],G. Monfils,2,1
2° turno,D. Lajovic [Q],F. Cobolli,F. Cobolli,0,2
2° turno,T. Griekspoor,A. Fils [12],T. Griekspoor,2,1
2° turno,F. Auger-Aliassime [16],D. Altmaier [Q],D. Altmaier [Q],0,2
2° turno,M. Arnaldi,R. Gasquet [WC],R. Gasquet [WC],1,2
2° turno,F. Fognini [WC],F. Cerundolo,F. Cerundolo,0,2
2° turno,bye,C. Alcaraz [2],C. Alcaraz [2],,
3° turno,A. Zverev [1],M. Berrettini,M. Berrettini,1,2
3° turno,J. Lehecka,L. Musetti [13],L. Musetti [13],1,2
3° turno,N. Borges,P. Martinez,,,
3° turno,TBD,S. Tsitsipas [6],S. Tsitsipas [6],1,2
3° turno,N. Djokovic [3],A. Tabilo,A. Tabilo,0,2
3° turno,V. Vacherot [WC],G. Dimitrov [15],G. Dimitrov [15],1,2
3° turno,D. Medvedev [9],A. Muller,A. Muller,1,2
3° turno,T. Machac,A. de Minaur [8],A. de Minaur [8],1,2
3° turno,J. Draper [5],M. Giron,J. Draper [5],2,0
3° turno,T. Etcheverry,TBD,A. Davidovich Fokina,2,0
3° turno,F. Tiafoe [14],A. Popyrin,A. Popyrin,1,2
3° turno,R. Bautista Agut,C. Ruud [4],C. Ruud [4],0,2
3° turno,A. Rublev [7],G. Monfils,A. Rublev [7],2,0
3° turno,F. Cobolli,T. Griekspoor,,,
3° turno,D. Altmaier [Q],R. Gasquet [WC],D. Altmaier [Q],2,1
3° turno,F. Cerundolo,C. Alcaraz [2],C. Alcaraz [2],1,2
Ottavi di finale,M. Berrettini,L. Musetti [13],L. Musetti [13],0,2
Ottavi di finale,TBD,S. Tsitsipas [6],S. Tsitsipas [6],0,2
Ottavi di finale,A. Tabilo,G. Dimitrov [15],G. Dimitrov [15],1,2
Ottavi di finale,A. Muller,A. de Minaur [8],,,
Ottavi di finale,J. Draper [5],A. Davidovich Fokina,A. Davidovich Fokina,1,2
Ottavi di finale,A. Popyrin,C. Ruud [4],A. Popyrin,2,1
Ottavi di finale,A. Rublev [7],TBD,,,
Ottavi di finale,D. Altmaier [Q],C. Alcaraz [2],C. Alcaraz [2],0,2
Quarti di finale,L. Musetti [13],S. Tsitsipas [6],L. Musetti [13],2,1
Quarti di finale,G. Dimitrov [15],TBD,A. de Minaur [8],2,0
Quarti di finale,A. Davidovich Fokina,A. Popyrin,A. Davidovich Fokina,2,0
Quarti di finale,TBD,C. Alcaraz [2],,,
Semifinali,L. Musetti [13],A. de Minaur [8],L. Musetti [13],2,1
Semifinali,A. Davidovich Fokina,TBD,C. Alcaraz [2],2,0
Finale,C. Alcaraz [2],L. Musetti [13],C. Alcaraz [2],2,1
